FileName,Sentence,Clean sentence,Lemmatized
doc1.txt,"Let me begin by saying thanks to all you who've traveled, from far and wide, to brave the cold today.",let me begin thanks traveled far wide brave cold today,let i begin thank travel far wide brave cold today
doc1.txt,We all made this journey for a reason.,journey reason,journey reason
doc1.txt,"It's humbling, but in my heart I know you didn't come here just for me, you came here because you believe in what this country can be.",humbling heart i know come me came believe country,humble heart i know come i come believe country
doc1.txt,"In the face of war, you believe there can be peace.",face war believe peace,face war believe peace
doc1.txt,"In the face of despair, you believe there can be hope.",face despair believe hope,face despair believe hope
doc1.txt,"In the face of a politics that's shut you out, that's told you to settle, that's divided us for too long, you believe we can be one people, reaching for what's possible, building that more perfect union.",face politics shut told settle divided long believe people reaching possible building perfect union,face politic shut tell settle divide long believe people reach possible build perfect union
doc1.txt,That's the journey we're on today.,journey today,journey today
doc1.txt,But let me tell you how I came to be here.,let me tell i came,let i tell i come
doc1.txt,"As most of you know, I am not a native of this great state.",know i native great state,know i native great state
doc1.txt,I moved to Illinois over two decades ago.,i illinois decades ago,i illinois decade ago
doc1.txt,"I was a young man then, just a year out of college; I knew no one in Chicago, was without money or family connections.",i young man year college i knew chicago money family connections,i young man year college i know chicago money family connection
doc1.txt,"But a group of churches had offered me a job as a community organizer for $13,000 a year.","group churches offered me job community organizer $ 13,000 year","group church offer i job community organizer $ 13,000 year"
doc1.txt,"And I accepted the job, sight unseen, motivated then by a single, simple, powerful idea - that I might play a small part in building a better America.",i accepted job sight unseen motivated single simple powerful idea i play small building america,i accept job sight unseen motivate single simple powerful idea i play small build america
doc1.txt,My work took me to some of Chicago's poorest neighborhoods.,work me chicago poorest neighborhoods,work i chicago poor neighborhood
doc1.txt,I joined with pastors and lay-people to deal with communities that had been ravaged by plant closings.,i joined pastors lay people deal communities ravaged plant closings,i join pastor lie people deal community ravage plant closing
